comparison,test_name,n1,n2,median1,median2,p_value,effect_size,significant
medication_vs_cyst_size,Mann-Whitney,24,12,37.0,34.5,1.0,-0.003472222222222321,FALSE
pulmonary_vs_cyst_size,Mann-Whitney,12,23,40.0,35.0,0.25062100549535515,-0.24275362318840576,FALSE
